id,title,state,severity,priority,assignee,reporter,created,age_business_days,first_decision_recorded,customer_impact
BUG-771,"Payments dashboard shows zero balance for all merchant accounts",New,1 - Critical,P1,,qa.team,2026-08-07,6,,"reported by 2 merchants via support"
BUG-774,"Refund fails when the original charge was in GBP",Assigned,2 - High,P1,d.novak,qa.team,2026-08-07,6,2026-08-08,"1 merchant"
BUG-780,"Timezone label wrong on the settlement report header",New,3 - Medium,P2,,l.fontaine,2026-08-14,1,,""
BUG-782,"CSV export column order changes between runs",New,3 - Medium,P3,,l.fontaine,2026-08-04,9,,""
BUG-786,"Bulk payout screen unusable above 2000 rows",Deferred,1 - Critical,P4,p.iyer,qa.team,2026-06-30,34,2026-07-01,"internal ops team only; PM accepted deferral 2026-07-01, review at next planning"
BUG-790,"Webhook signature check rejects valid payloads after key rotation",New,1 - Critical,P1,qa-bot,ci.pipeline,2026-08-10,5,,"3 integrators blocked"
BUG-793,"Chargeback notifications not delivered since Friday",Open,2 - High,P1,,support.desk,2026-08-11,4,2026-08-12,"3 merchant accounts"
BUG-796,"Tooltip truncated on the fee breakdown",New,4 - Low,P4,,l.fontaine,2026-08-14,1,,""
BUG-799,"Something wrong with the payout schedule",New,,,,,support.desk,2026-08-03,10,,"reporter unreachable since filing"
BUG-802,"Settlement report double-counts partial refunds",Assigned,2 - High,P2,m.oyelaran,qa.team,2026-08-12,3,2026-08-12,""
