question,faithfulness
How long do I have to get a refund on a monthly plan?,1.0
Where do I download an invoice?,1.0
Can I move a seat to a different person?,1.0
Is there a cooling-off period on the annual plan?,
Do you support SAML?,1.0
What happens if my card is declined?,1.0
"If I sign up for a year and change my mind in the first fortnight, what happens?",
Where is our data stored?,0.75
"If I cancel an annual plan halfway through, do I get half my money back?",1.0
How do I add a teammate?,1.0
"A colleague said there is a two-week window to back out of an annual contract. Is that right?",
Is data encrypted at rest?,1.0
