id,collection,recall_0604,recall_0902,recall_0910
g-004,api-reference,1.0,1.0,1.0
g-041,changelog,1.0,0.5,0.5
g-017,api-reference,1.0,1.0,0.5
g-058,changelog,1.0,0.5,0.0
g-023,api-reference,0.5,0.5,0.5
g-072,changelog,1.0,1.0,0.5
g-031,api-reference,1.0,1.0,1.0
g-085,changelog,0.5,0.0,0.0
g-038,api-reference,1.0,1.0,0.5
g-091,changelog,1.0,1.0,1.0
g-046,api-reference,1.0,1.0,1.0
g-103,changelog,1.0,0.5,0.5
g-052,api-reference,0.5,0.5,0.5
g-118,changelog,1.0,1.0,0.5
g-062,api-reference,1.0,1.0,1.0
g-127,changelog,0.5,0.5,0.0
g-069,api-reference,1.0,1.0,1.0
g-134,changelog,1.0,0.5,0.5
g-077,api-reference,1.0,1.0,1.0
g-149,changelog,1.0,1.0,1.0
