id,question,expected_answer,source
Q01,"How long do I have to request a refund?","30 days from purchase","HC-118"
Q02,"What is the policy code for a late-delivery credit?","BILL-4","credit note template"
Q03,"Why did my invoice go up this month?","Explain that a plan change mid-cycle is prorated and both parts appear on one invoice","HC-142"
Q04,"How many days does a declined card retry for?","7","HC-204"
Q05,"Explain what happens to my data if I cancel.","Explain the 30-day retention window and that export is available until it ends","HC-190"
Q06,"What is the VAT rate applied to UK invoices?","20%","finance, 2026-01"
Q07,"Can a team member remove another team member's seat?","No, only the account owner","R. Patel"
Q08,"Which settings page holds the billing contact?","Settings > Billing > Contact","product UI"
Q09,"Explain why a refund has not arrived yet.","Explain the 5 business day bank window and that we cannot speed it up","HC-118"
Q10,"What is the minimum seat count on Business?","5","pricing page"
Q11,"How many days notice for an annual plan cancellation?","30","HC-131"
Q12,"Explain the difference between a credit and a refund.","Explain that a credit offsets future invoices and a refund returns money to the card","HC-118"
Q13,"Is there a fee for changing plan mid-cycle?","No fee","FAQ, archived 2023"
Q14,"What currency are invoices issued in for EU customers?","EUR","finance, 2026-01"
Q15,"Explain how proration is calculated.","Explain that it is charged to the day on the difference between the two plan prices","HC-142"
Q16,"What is the invoice number format?","INV-YYYY-NNNNNN","invoice template"
Q17,"Explain why a payment might be declined.","Explain the common causes and point to updating the card in Settings","HC-204"
Q18,"How long are invoices retained for download?","7 years","legal, 2025-11"
Q19,"Can we issue a refund after the 30 day window as a goodwill gesture?","Yes at our discretion","draft with legal"
Q20,"Explain what the account owner can do that an admin cannot.","Explain that the owner controls billing details, plan changes and closing the account","HC-155"
Q21,"What is the grace period after a failed renewal?","14 days","HC-209"
Q22,"Explain how to move billing to a different company entity.","Explain that it needs a support ticket and cannot be self-served","HC-166"
Q23,"What is the support email for billing disputes?","billing@parcelwise.example","support footer"
Q24,"How many free users do we include?","Depends","HC-170"
Q25,"Explain what happens at the end of a trial.","Explain that it converts to the chosen plan unless cancelled first","HC-112"
Q26,"What is the maximum number of seats on Team?","25","pricing page"
Q27,"Explain how to download a VAT receipt.","Explain it is attached to each invoice under Settings > Billing","HC-127"
Q28,"Can I pay by direct debit?","Yes, SEPA and BACS","Q4 roadmap"
Q29,"How many days before renewal is the reminder email sent?","14","HC-221"
Q30,"Explain why the seat count on the invoice differs from the seat count today.","Explain that invoices bill the seat count at the start of the period","HC-134"
Q31,"What is the policy code for a duplicate charge reversal?","BILL-9","credit note template"
Q32,"Explain how to change the card on file.","Explain the path through Settings > Billing > Payment method","HC-108"
Q33,"Do we refund shipping on a returned order?","No","agent transcript, 2026-08"
Q34,"How long does a refund take to reach the card?","5 business days","HC-118"
Q35,"Explain what a proforma invoice is and when we issue one.","Explain it is a pre-payment document issued on request for annual plans","HC-181"
Q36,"What is the cutoff time for same-day invoice reissue?","16:00 UTC","operations, 2026-02"
Q37,"Explain why an annual plan cannot be downgraded mid-term.","Explain that the term is committed and the change applies at renewal","HC-142"
Q38,"Which plan tier includes SSO?","Business","pricing page"
Q39,"Should we tell customers the refund has been approved before finance signs it off?","No","my note"
Q40,"Explain what happens to unused seats at renewal.","Explain that the renewal bills the current seat count and unused seats are not credited","HC-134"
