key,summary,project,status,fix_version,labels,verified_by,last_updated
ENG-5001,"Retry banner shows stale timestamp",ENG,Verified,2026.06.15,"release-2026.06.15",q.alvarez,2026-06-14
ENG-5002,"Saved filters lost on sign-out",ENG,Verified,2026.06.15,"release-2026.06.15",q.alvarez,2026-06-14
ENG-5003,"Rate limit header missing on 429",ENG,Verified,2026.06.15,"release-2026.06.15",t.brandt,2026-06-15
ENG-5004,"Import preview truncates unicode names",ENG,Verified,2026.06.15,"release-2026.06.15",q.alvarez,2026-06-15
ENG-5005,"Empty state flashes before data loads",ENG,Verified,2026.06.15,"release-2026.06.15",t.brandt,2026-06-15
ENG-5006,"Webhook secret shown in plain text in settings",ENG,Verified,2026.06.15,"release-2026.06.15",q.alvarez,2026-06-16
ENG-5007,"Sort order ignored on the second page",ENG,Verified,2026.06.15,"release-2026.06.15",t.brandt,2026-06-16
ENG-5008,"Invite email links to the wrong workspace",ENG,Verified,2026.06.15,"release-2026.06.15",q.alvarez,2026-06-16
ENG-5009,"Usage chart off by one day in UTC-negative zones",ENG,Verified,2026.06.15,"release-2026.06.15",t.brandt,2026-06-17
ENG-5012,"Bulk delete leaves orphaned attachments",ENG,Fixed,2026.06.15,"release-2026.06.15",,2026-06-13
ENG-5015,"Token refresh races on slow networks",ENG,Fixed,2026.06.15,"release-2026.06.15",,2026-06-17
ENG-5020,"Search index lags behind writes",ENG,Verified,2026.07.01,"release-2026.07.01",q.alvarez,2026-07-02
ENG-5023,"Legacy CSV importer unsupported past 2027",ENG,Deferred,,"release-2026.06.15,deferred-review",,2026-05-29
ENG-5028,"Avatar cache not busted on upload",ENG,Closed,2026.06.15,"release-2026.06.15",t.brandt,2026-06-18
OPS-2210,"Alert routing drops the on-call override",OPS,Verified,2026.06.15,"release-2026.06.15",t.brandt,2026-06-16
